Title,Price,Year,Mileage,Fuel,Location,Link,Make,Model,Condition,Body Type,Color,Seats
Toyota Yaris Cross Hybrid G 2020,Rs 72 Lacs,2020,"90,000 km",Hybrid,"Askari Villas, Rawalpindi•",https://www.olx.com.pk/item/toyota-yaris-cross-hybrid-g-2020-iid-1103842069,Toyota,Yaris,Used,Other,Black,
Corolla XE SALOON Japan,Rs 18.50 Lacs,2006,"150,000 km",Petrol,"Gulshan-e-Iqbal, Karachi•",https://www.olx.com.pk/item/corolla-xe-saloon-japan-iid-1105944509,Toyota,Corolla XE,Used,Sedan,White,4.0
Toyota Land Cruiser ZX – Full House Golden Number,Rs 3.90 Crore,2017,"55,000 km",Petrol,"DHA Phase 6, Lahore•",https://www.olx.com.pk/item/toyota-land-cruiser-zx-full-house-golden-number-iid-1105942927,Toyota,Land Cruiser,Used,SUV,Black,5.0
Honda Civic 1.8 Oriel All Genuine 100%,Rs 54.60 Lacs,2018,"76,000 km",Petrol,"Airport Housing Society, Rawalpindi•",https://www.olx.com.pk/item/honda-civic-18-oriel-all-genuine-100-iid-1105944174,Honda,Civic Oriel,Used,Sedan,White,5.0
SUZUKI LIANA RXI 100% ORIGINAL PAINT OWN ENGINE,Rs 11.95 Lacs,2006,New,Petrol,"DHA Phase 7, Karachi•",https://www.olx.com.pk/item/suzuki-liana-rxi-100-original-paint-own-engine-iid-1105757438,Suzuki,Liana,New,Sedan,Black,5.0
suzuki swift automatic model 2015 original color,Rs 23.80 Lacs,2015,New,Petrol,"Paposh Nagar, Karachi•",https://www.olx.com.pk/item/suzuki-swift-automatic-model-2015-original-color-iid-1105941227,Suzuki,Swift,New,Sports / Coupe,Grey,4.0
Toyota Yaris 1.3 gli 2021,Rs 40.25 Lacs,2021,"66,000 km",Petrol,"Gulshan-e-Iqbal, Karachi•",https://www.olx.com.pk/item/toyota-yaris-13-gli-2021-iid-1104333265,Toyota,Yaris,Used,Sedan,Grey,5.0
Toyota Corolla Altis 1.6 Automatic,Rs 34.75 Lacs,2015,"98,000 km",Petrol,"Scheme 33 - Sector 51-A, Karachi•",https://www.olx.com.pk/item/toyota-corolla-altis-16-automatic-iid-1105944017,Toyota,Corolla Altis,Used,Sedan,Black,4.0
Toyota Altis Grande 2025,Rs 81.99 Lacs,2025,New,Petrol,"9th Avenue, Islamabad•",https://www.olx.com.pk/item/toyota-altis-grande-2025-iid-1105943445,Toyota,Altis Grande,New,Sedan,Black,5.0
Honda Civic 2018,Rs 46 Lacs,2018,"124,000 km",Petrol,"Soan Garden, Islamabad•",https://www.olx.com.pk/item/honda-civic-2018-iid-1105942942,Honda,Civic,Used,Sedan,White,5.0
Honda Civic VTi Oriel Prosmatec 2015,Rs 38.50 Lacs,2015,"96,000 km",Petrol,"Abbot Road, Lahore•",https://www.olx.com.pk/item/honda-civic-vti-oriel-prosmatec-2015-iid-1105356700,Honda,Civic VTi Oriel Prosmatec,Used,Sedan,White,4.0
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Rs 72 Lacs,2022,"5,299 km",Petrol,"Malir, Karachi•",https://www.olx.com.pk/item/toyota-corolla-altis-grande-x-cvt-i-18-black-interior-2022-iid-1105161129,Toyota,Corolla Altis,Used,Sedan,White,
Haval Jolion 1.5T 2025  |  Haval Jolion HEV 1.5 2025,Rs 83 Lacs,2025,New,Petrol,"Sahiwal Bypass, Sahiwal•",https://www.olx.com.pk/item/haval-jolion-15t-2025-haval-jolion-hev-15-2025-iid-1104971347,Haval,Jolion,New,SUV,Black,5.0
Suzuki mehran,Rs 4.50 Lac,1992,"80,400 km",Petrol,"Ghauri Town Phase 7, Islamabad•",https://www.olx.com.pk/item/suzuki-mehran-iid-1105567029,Suzuki,Mehran VX,Used,Small city car,White,4.0
Suzuki cultus VXRi  2011 Model 2011,Rs 11.50 Lacs,2011,"12,345 km",Petrol,"Gulistan-e-Jauhar Block 13, Karachi•",https://www.olx.com.pk/item/suzuki-cultus-vxri-2011-model-2011-iid-1105943560,Suzuki,Cultus VXR,Used,Sedan,Other,
"Suzuki Hustler 2023 J Style Turbo Hybrid | Fresh Import 2025 |10,500km",Rs 38.50 Lacs,2023,"10,500 km",Hybrid,"Samanabad, Lahore•",https://www.olx.com.pk/item/suzuki-hustler-2023-j-style-turbo-hybrid-fresh-import-2025-10500km-iid-1105943280,Suzuki,Hustler,Used,Hatchback,Green,4.0
Alto VXR 2019 urgent,Rs 21.90 Lacs,2019,"160,000 km",Petrol,"Fateh Sher Colony, Sahiwal•",https://www.olx.com.pk/item/suzuki-alto-2019-iid-1104228066,Suzuki,Alto,Used,Small city car,White,
BAIC BJ40 2022 Modle,Rs 79 Lacs,2022,"39,999 km",Petrol,"Cantt, Lahore•",https://www.olx.com.pk/item/baic-bj40-2022-modle-iid-1104807945,BAIC,BJ40,Used,Other,Black,4.0
Toyota Corrolla 1986 1.3,Rs 5.50 Lac,1986,"12,345 km",Petrol,"Gulistan-e-Jauhar Block 20, Karachi•",https://www.olx.com.pk/item/toyota-corrolla-1986-13-iid-1105943144,Toyota,Corolla,Used,Sedan,White,
Honda civic 2018 ug excellent condition,Rs 47.25 Lacs,2018,"74,000 km",Petrol,"Airport, Karachi•",https://www.olx.com.pk/item/honda-civic-2018-ug-excellent-condition-iid-1105943067,Honda,Civic VTi Oriel Prosmatec,Used,Sedan,Brown,4.0
Daihatsu Cuore 2007 Own Engine,Rs 7.40 Lac,2007,"12,345 km",Petrol,"Gulistan-e-Jauhar Block 15, Karachi•",https://www.olx.com.pk/item/daihatsu-cuore-2007-own-engine-iid-1105942893,Daihatsu,Cuore,Used,Sedan,Other,
Toyota Raize Z,Rs 60 Lacs,2020,New,Petrol,"Wapda Town Phase 1, Lahore•",https://www.olx.com.pk/item/toyota-raize-z-iid-1105467875,Toyota,Raize,New,Other,White,5.0
HONDA CIVIC 2018 UG NEW METER EXCELLENT CONDITION,Rs 48.75 Lacs,2018,"55,000 km",Petrol,"Airport, Karachi•",https://www.olx.com.pk/item/honda-civic-2018-ug-new-meter-excellent-condition-iid-1105942835,,,,,,
Mustubishi Ek Wagon  2020  Model,Rs 19 Lacs,2020,"160,000 km",Petrol,"Rahwali, Gujranwala•",https://www.olx.com.pk/item/mustubishi-ek-wagon-2020-model-iid-1105939306,,,,,,
White Suzuki Mehran 1989 model in excellent condition,Rs 5.20 Lac,1989,"102,000 km",Petrol,"Township - Sector C2, Lahore•",https://www.olx.com.pk/item/white-suzuki-mehran-1989-model-in-excellent-condition-iid-1102823597,,,,,,
Suzuki Alto 2019,Rs 25.50 Lacs,2019,"45,000 km",Petrol,"Soan Garden, Islamabad•",https://www.olx.com.pk/item/suzuki-alto-2019-iid-1102058530,,,,,,
Suzuki Cultus VXLi EFI engine,Rs 10 Lacs,2008,"98,000 km",Petrol,"Federal B Area - Block 16, Karachi•",https://www.olx.com.pk/item/suzuki-cultus-vxli-efi-engine-iid-1103118705,,,,,,
Toyota Mark X Model  2006,Rs 45.50 Lacs,2006,"143,000 km",Petrol,"DHA Phase 5, Lahore•",https://www.olx.com.pk/item/toyota-mark-x-model-2006-iid-1102916122,,,,,,
MG HS 2024,Rs 71.50 Lacs,2024,"54,000 km",Petrol,"DHA Phase 5, Lahore•",https://www.olx.com.pk/item/mg-hs-2024-iid-1105942021,,,,,,
2013 manual aspire1300cc bumper to bumper genuine,Rs 33 Lacs,2013,"52,000 km",Petrol,"Model Town Extension, Lahore•",https://www.olx.com.pk/item/2013-manual-aspire1300cc-bumper-to-bumper-genuine-iid-1105939934,,,,,,
Suzuki Baleno 2001 | Suzuki Baleno | Baleno Car For Sale,Rs 8 Lac,2001,"200,000 km",Petrol,"Burma Town, Islamabad•",https://www.olx.com.pk/item/suzuki-baleno-2001-suzuki-baleno-baleno-car-for-sale-iid-1105940691,,,,,,
Toyota Vitz 2015/18,Rs 30 Lacs,2015,"97,000 km",Petrol,"DHA Phase 7, Karachi•",https://www.olx.com.pk/item/toyota-vitz-201518-iid-1105559579,,,,,,
Nissan Note E Power 2021 | Nissan Car For Sale,Rs 76 Lacs,2021,"3,800 km",Hybrid,"G-8, Islamabad•",https://www.olx.com.pk/item/nissan-note-e-power-2021-nissan-car-for-sale-iid-1105157026,,,,,,
Toyota Hilux Revo 3.0 2017,Rs 91.50 Lacs,2017,"96,000 km",Diesel,"Johar Town Phase 1, Lahore•",https://www.olx.com.pk/item/toyota-hilux-revo-30-2017-iid-1105941558,,,,,,
Toyota Corolla Altis 1.6 Automatic – 2019 Model (Registered 2020),Rs 53.50 Lacs,2020,"100,000 km",Petrol,"Dinga Road, Gujrat•",https://www.olx.com.pk/item/toyota-corolla-altis-16-automatic-2019-model-registered-2020-iid-1105939864,,,,,,
Suzuki alto ECO-L,Rs 23 Lacs,2012,"107,000 km",Petrol,"G-8/1, Islamabad•",https://www.olx.com.pk/item/suzuki-alto-eco-l-iid-1104755682,,,,,,
passo,Rs 29.50 Lacs,2014,"121,000 km",Petrol,"Others, Islamabad•",https://www.olx.com.pk/item/passo-iid-1105941434,,,,,,
